"Year","November","December","January","February","March","Count","IcelandCull","IslayCull","GreenlandCull","AIG","IslayTemp","AugRain","AugTemp","y","HB","Npred"
1987,21400,NA,NA,19507,20238,20382,0,0,0,5748.5,4.7,3.9,2.3,20382,0,NA
1988,NA,20580,NA,NA,21075,20828,0,0,0,5816.1,5.9,4.6,1.6,20828,0,NA
1989,NA,24861,NA,23094,NA,23978,0,0,0,6389.5,5.6,63.7,3.6,23978,0,22553
1990,NA,28216,NA,NA,22172,25194,0,0,0,6673.3,4.5,15.1,3.3,25194,0,23500
1991,22770,NA,NA,22870,25947,23862,0,0,0,6895.9,5.3,3.5,1.1,23862,0,26951
1992,23156,25805,21800,21118,24359,23248,0,0,0,6971.5,4.7,50.5,2.1,23248,0,26389
1993,24832,NA,27791,NA,25445,26023,0,0,0,7112,3.6,2,3.4,26023,0,23809
1994,26237,NA,27936,NA,28298,27490,0,0,0,7496.3,5.1,6.3,2.2,27490,0,28782
1995,28992,NA,31057.5,NA,NA,30025,1876,0,0,7459.8,4.6,10.3,2.4,30025,1876,30226
1996,33000.5,35013,29277,30598,31204,31819,1619,0,0,7536.3,4.8,28.1,2.6,31818,1619,32570
1997,32812,NA,32392,NA,30663,31956,2629,0,0,7166.1,6.1,53.7,2.2,31956,2629,33491
1998,33544,NA,35417,NA,35172,34711,2283,0,0,6884.9,5,11.8,1.1,34711,2283,32489
1999,35429,NA,31795,NA,28500,31908,1376,0,0,7044.4,5.4,3.3,1.7,31908,1376,36095
2000,35332,NA,33908,NA,NA,34620,1412,564,0,7549.2,4.2,27.9,3.9,34733,1412,33985
2001,NA,34829,NA,NA,NA,34829,1409,473,0,7196.9,6,18.3,3.5,34924,1409,36051
2002,NA,33544,34214,NA,36367,34708,925,534,0,7542.9,5.1,4.3,5.2,34815,925,36437
2003,49318,35620,NA,35163,39839,39985,0,491,0,7602.2,5.2,1,2.9,40083,0,36994
2004,37520,45123,NA,41359,44186,42047,1153,589,0,8331.2,5.8,0.2,2.7,42165,1153,41636
2005,50800,NA,46733,NA,50422,49318,1478,490,40,7955.4,5.1,15.1,2.6,49416,1518,44242
2006,51305,45721,NA,46683,52708,49104,1025,584,36,8043.8,6.4,20.1,3.7,49221,1061,49142
2007,47109,44237,NA,45216,44961,45381,1577,851,91,7477.9,5.7,10.5,4.3,45551,1668,49155
2008,40501,38734,NA,43669,44896,41950,1534,658,43,7355.9,4.7,4.8,1.9,42082,1577,45545
2009,38247,41098,32583,NA,38621,37637,1624,616,66,7638.43090665525,3.9,3.9,3.8,37760,1690,42778
2010,49918,44844,35898,NA,35661,41580,1369,423,87,6710.73090665525,3.8,43.5,3.7,41665,1456,39688
2011,56961,42595,41335,NA,46412,46826,1386,767,98,6916.13090665525,6.5,5,4.5,46979,1484,41579
2012,52964,45670,44063,NA,44914,46903,1970,2062,101,7219.93090665525,3.9,34.1,3.4,47315,2071,45728
2013,46931,36244,41952,NA,39909,41259,2158,1778,118,8062.43090665525,5.9,43.6,3.7,41615,2276,46866
2014,36252,39185,38604,NA,36989,37758,2057,1395,99,7489.93090665525,5.3,52.7,3,38036,2156,42189
2015,48568,43883,41736,NA,37166,42838,1789,2160,124,6501.93090665525,5.8,NA,NA,43270,1913,38600
